var_i,var_j,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
NIRv,SM,0.2942284273148073,0.2633757247190867,0.2584546202679107,0.2321807774609738,0.2585324037027081,0.287982510074837,0.2829295619421492,0.2660311222389331,0.2566050891305397,0.2757388442021216,0.2885195313656026,0.299333144256255,0.2877952875819439,0.3161253374517616,0.3226358324566467,0.2914129524518545,0.2909324173189533,0.306026944577714,0.2814054774119448,0.2768005502452333,0.2866926440632485,0.3152940243544818,0.3094852271414883,0.2941923517799193
NIRv,SPEI6,,,,0.1907534958232174,,0.1943901837287455,,0.1727307469571138,0.1839929198079131,,,,,0.2893948071699678,,,,,,,,,,
NIRv,T,0.2191447705420457,0.2087574615798772,0.2089866984778624,0.1731423002652939,0.174651699708566,0.2048004255267864,0.2031614775036312,0.1867777774995163,0.1956521458323213,0.22369592862617,0.2257860397871433,0.2173850502278317,0.2032736532109791,,0.2212927281860473,0.2115342386127214,0.1882253107848479,0.2004440139042304,0.1923648410307029,0.1783353402271728,0.1981497428443463,,0.1964882106012257,0.1925071711721221
NIRv,WECS,0.2093903276201864,0.1970995549868223,0.2275569954045899,0.1732080503067606,0.1821437427890879,0.2317274956527882,0.2141520495728721,0.2056494552844496,0.2009044928298741,0.226125811936617,0.1970205970280411,0.2365498073143206,0.1911740982020849,,0.2078920489974558,0.2029393126942328,0.2048060791629786,0.1931962761600604,0.2027036950038841,0.2097825929394514,0.2056713347094592,,0.1793232788656133,0.1979247316279422
NIRv,WS2,,,0.1756215254794642,,,,,0.1728083022223183,,,0.2112904323501184,,,,,0.1775854205090762,,,,,,,,
PET,PRE,0.3816573012131272,0.2897936674533235,0.2978006493093472,0.2969385060766253,0.2897537178972755,0.3539489973116179,0.2839107735194735,0.2705237609602023,0.2951144971586939,0.4253280042590464,0.3249792723093043,0.4185345359391834,0.3225929919171565,0.4404679322796564,0.3686531553746962,0.2990938650897742,0.2930186312337497,0.3469665942645292,0.3404509587783319,0.295745600501561,0.3812967600177308,0.4239198378663991,0.3027127990991292,0.3825999758452154
PET,SM,0.3344543789289784,0.3263160364663806,0.3123598556209003,0.3075165161284849,0.3196378699662459,0.3092770423616058,0.3028938970790938,0.3010877112835842,0.2858962512555127,0.3384922783284266,0.3132485626800823,0.3354228128835606,0.326004656803901,0.3567431561559435,0.3595579974804786,0.3559094166299262,0.29975029667992,0.3010638050495951,0.3198615936607018,0.3196727688774459,0.3468369322110459,0.3876541735942217,0.3681414553568159,0.3406331648687246
PET,SPEI6,,,0.2160812285132679,0.2235648524229778,,0.2266196856065052,0.2138713533816407,0.2331318463611598,0.2865445582160039,0.288329307006615,,0.2434246045913709,,0.4679242366089636,,,0.1784473956941407,0.1949364150236371,,,,0.3541513946239801,,0.1985027222586939
PET,T,0.4480505938510742,0.435850417869477,0.4637793508089282,0.3979470317121667,0.4140485433454973,0.4029408978617949,0.4709620183465303,0.3937066757900653,0.4203049069662893,0.4051841019926945,0.423552644212326,0.385382230083459,0.3950246686338731,0.453177416986028,0.434596852372857,0.4229414903778,0.4340717086735907,0.3856032729912105,0.4136761439050239,0.3827132836027927,0.4078513771211546,0.4649172052593435,0.3995373959659897,0.4378940491607871
PET,WECS,,0.1820677171012236,0.1819189487353256,,0.2030503449058536,0.2110015714264345,,0.1765290082354305,,,,0.2149561253009683,0.1846884741068731,,,0.1868267318862833,0.1761874771612969,0.1953455555839449,0.1789153558476724,0.1906055591237084,0.194400376324981,,0.1868292146899803,
